ds,icu_patients,flu_cases,oxygen_demand,ventilator_demand,staff_demand,tanks_demand
2026-09-13 15:00:00,135,64,244.0,21,98,81
2026-09-13 16:00:00,138,65,246.1,21,101,86
2026-09-13 17:00:00,136,66,247.9,19,99,83
2026-09-13 18:00:00,136,66,253.0,21,97,85
2026-09-13 19:00:00,137,65,247.3,19,97,84
2026-09-13 20:00:00,136,70,245.5,20,99,89
2026-09-13 21:00:00,138,66,247.0,19,99,83
2026-09-13 22:00:00,137,64,247.6,21,102,84
2026-09-13 23:00:00,136,69,247.6,20,97,84
2026-09-14 00:00:00,137,65,242.7,20,96,84
2026-09-14 01:00:00,138,68,245.0,21,98,82
2026-09-14 02:00:00,137,62,250.4,19,98,81
2026-09-14 03:00:00,137,65,249.2,20,100,83
2026-09-14 04:00:00,137,64,249.0,20,98,84
2026-09-14 05:00:00,137,64,246.2,20,99,83
2026-09-14 06:00:00,138,65,243.5,21,95,83
2026-09-14 07:00:00,138,67,248.3,21,101,85
2026-09-14 08:00:00,136,65,249.2,20,98,83
2026-09-14 09:00:00,136,68,253.5,20,95,81
2026-09-14 10:00:00,137,63,245.5,20,99,85
2026-09-14 11:00:00,137,66,249.9,20,97,86
2026-09-14 12:00:00,138,66,249.7,20,96,85
2026-09-14 13:00:00,138,60,242.5,21,99,83
2026-09-14 14:00:00,137,66,248.9,20,96,84
2026-09-14 15:00:00,137,64,245.4,19,99,83
2026-09-14 16:00:00,138,66,249.7,20,97,85
2026-09-14 17:00:00,137,67,250.2,20,98,86
2026-09-14 18:00:00,137,65,246.0,22,99,85
2026-09-14 19:00:00,138,64,249.2,22,95,84
2026-09-14 20:00:00,137,62,253.6,19,98,84
2026-09-14 21:00:00,138,65,249.0,20,101,85
2026-09-14 22:00:00,138,68,247.0,19,99,88
2026-09-14 23:00:00,136,59,248.6,20,99,86
2026-09-15 00:00:00,137,67,246.3,20,99,82
2026-09-15 01:00:00,136,66,245.5,21,95,82
2026-09-15 02:00:00,136,65,251.0,20,99,88
2026-09-15 03:00:00,136,66,247.5,21,98,85
2026-09-15 04:00:00,135,67,249.9,21,97,82
2026-09-15 05:00:00,136,64,246.5,20,102,82
2026-09-15 06:00:00,138,65,250.7,20,94,84
2026-09-15 07:00:00,136,65,249.7,22,102,86
2026-09-15 08:00:00,135,68,253.2,20,100,82
2026-09-15 09:00:00,136,65,248.6,20,100,85
2026-09-15 10:00:00,136,65,247.9,21,95,87
2026-09-15 11:00:00,138,67,246.9,19,97,83
2026-09-15 12:00:00,138,66,248.8,20,94,83
2026-09-15 13:00:00,138,65,247.9,21,97,89
2026-09-15 14:00:00,136,62,249.3,21,97,84
2026-09-15 15:00:00,137,64,245.4,21,99,84
2026-09-15 16:00:00,137,66,248.9,19,97,84
2026-09-15 17:00:00,137,65,248.0,20,98,84
2026-09-15 18:00:00,137,65,248.9,20,98,86
2026-09-15 19:00:00,137,66,242.4,21,96,84
2026-09-15 20:00:00,136,69,246.9,21,97,83
2026-09-15 21:00:00,136,65,252.1,21,96,83
2026-09-15 22:00:00,137,66,246.2,20,97,85
2026-09-15 23:00:00,137,65,247.2,21,97,82
2026-09-16 00:00:00,136,63,246.5,22,99,86
2026-09-16 01:00:00,137,64,244.3,22,98,88
2026-09-16 02:00:00,138,65,245.7,21,97,84
2026-09-16 03:00:00,137,65,246.4,19,96,81
2026-09-16 04:00:00,137,65,249.8,20,95,84
2026-09-16 05:00:00,138,62,247.3,22,98,83
2026-09-16 06:00:00,137,64,250.6,20,97,84
2026-09-16 07:00:00,136,62,248.5,20,99,84
2026-09-16 08:00:00,136,66,245.7,21,95,87
2026-09-16 09:00:00,137,65,240.7,20,99,83
2026-09-16 10:00:00,135,65,253.3,21,96,84
2026-09-16 11:00:00,138,62,249.7,21,97,82
2026-09-16 12:00:00,138,65,246.0,20,98,85
2026-09-16 13:00:00,135,68,252.0,21,97,86
2026-09-16 14:00:00,136,64,248.2,20,95,87
2026-09-16 15:00:00,136,65,247.6,20,97,85
2026-09-16 16:00:00,137,65,254.2,21,95,85
2026-09-16 17:00:00,136,62,249.7,21,95,82
2026-09-16 18:00:00,135,62,252.4,21,99,80
2026-09-16 19:00:00,138,62,252.3,20,98,83
2026-09-16 20:00:00,135,66,246.8,20,99,84
2026-09-16 21:00:00,138,67,246.0,22,99,84
2026-09-16 22:00:00,136,68,250.9,20,99,81
2026-09-16 23:00:00,137,65,250.6,20,97,83
2026-09-17 00:00:00,137,67,248.7,22,98,80
2026-09-17 01:00:00,136,64,249.5,22,96,81
2026-09-17 02:00:00,137,63,247.1,21,99,86
2026-09-17 03:00:00,137,63,246.3,21,95,87
2026-09-17 04:00:00,136,64,245.9,20,96,84
2026-09-17 05:00:00,137,65,252.1,20,98,84
2026-09-17 06:00:00,137,65,255.4,20,97,85
2026-09-17 07:00:00,138,66,247.1,21,96,85
2026-09-17 08:00:00,136,65,249.4,21,94,82
2026-09-17 09:00:00,137,67,248.3,19,97,84
2026-09-17 10:00:00,136,64,249.5,20,98,85
2026-09-17 11:00:00,136,64,246.2,20,99,84
2026-09-17 12:00:00,137,68,247.9,19,97,82
2026-09-17 13:00:00,137,61,245.3,21,100,82
2026-09-17 14:00:00,138,70,247.8,20,100,84
2026-09-17 15:00:00,137,66,249.0,21,98,81
2026-09-17 16:00:00,138,70,253.4,20,99,82
2026-09-17 17:00:00,138,68,246.4,21,100,85
2026-09-17 18:00:00,137,65,249.5,21,97,86
2026-09-17 19:00:00,137,62,253.9,21,97,86
2026-09-17 20:00:00,136,68,248.0,21,98,83
2026-09-17 21:00:00,138,62,241.6,20,97,83
2026-09-17 22:00:00,136,66,243.3,20,102,83
2026-09-17 23:00:00,137,63,248.8,20,99,84
2026-09-18 00:00:00,137,67,247.1,21,99,82
2026-09-18 01:00:00,135,62,246.4,21,97,84
2026-09-18 02:00:00,136,67,254.4,22,101,84
2026-09-18 03:00:00,137,66,248.8,21,97,85
2026-09-18 04:00:00,137,65,249.5,21,99,82
2026-09-18 05:00:00,136,66,249.8,21,100,82
2026-09-18 06:00:00,136,65,246.3,20,99,85
2026-09-18 07:00:00,135,63,249.5,21,97,84
2026-09-18 08:00:00,135,63,245.5,20,98,82
2026-09-18 09:00:00,136,65,248.0,19,98,80
2026-09-18 10:00:00,135,69,246.8,19,97,85
2026-09-18 11:00:00,137,66,244.3,20,101,84
2026-09-18 12:00:00,137,64,247.2,19,99,84
2026-09-18 13:00:00,137,66,247.3,20,100,85
2026-09-18 14:00:00,137,64,246.0,21,97,82
2026-09-18 15:00:00,136,63,247.9,21,97,85
2026-09-18 16:00:00,135,67,243.8,21,98,86
2026-09-18 17:00:00,137,66,239.8,21,99,85
2026-09-18 18:00:00,137,65,240.2,21,101,81
