ds,icu_patients,flu_cases,oxygen_demand,ventilator_demand,staff_demand,tanks_demand
2026-09-07 12:00:00,134,63,245.5,18,95,77
2026-09-07 13:00:00,135,61,247.5,20,94,80
2026-09-07 14:00:00,135,55,241.2,19,91,80
2026-09-07 15:00:00,136,58,240.3,19,92,81
2026-09-07 16:00:00,135,60,236.2,19,96,80
2026-09-07 17:00:00,136,57,241.3,18,95,81
2026-09-07 18:00:00,134,60,240.2,19,97,81
2026-09-07 19:00:00,135,62,242.6,20,96,83
2026-09-07 20:00:00,135,62,241.5,19,99,80
2026-09-07 21:00:00,134,61,235.6,18,95,77
2026-09-07 22:00:00,135,56,237.3,20,95,82
2026-09-07 23:00:00,134,62,239.7,19,93,81
2026-09-08 00:00:00,136,60,241.2,19,95,79
2026-09-08 01:00:00,134,65,248.9,19,96,79
2026-09-08 02:00:00,133,59,242.1,19,95,81
2026-09-08 03:00:00,134,61,242.2,20,96,80
2026-09-08 04:00:00,135,59,240.7,18,95,85
2026-09-08 05:00:00,135,59,239.8,18,98,83
2026-09-08 06:00:00,134,61,243.9,20,95,81
2026-09-08 07:00:00,135,57,245.6,20,95,83
2026-09-08 08:00:00,133,58,248.1,19,96,81
2026-09-08 09:00:00,134,60,243.7,19,99,80
2026-09-08 10:00:00,134,59,240.8,19,95,79
2026-09-08 11:00:00,135,60,243.0,18,94,83
2026-09-08 12:00:00,136,60,244.6,19,96,80
2026-09-08 13:00:00,136,60,244.2,19,95,83
2026-09-08 14:00:00,135,56,242.6,20,92,82
2026-09-08 15:00:00,133,60,243.0,19,96,82
2026-09-08 16:00:00,135,62,243.4,21,92,82
2026-09-08 17:00:00,135,61,239.8,19,93,80
2026-09-08 18:00:00,135,56,235.9,20,94,81
2026-09-08 19:00:00,135,59,242.2,20,97,80
2026-09-08 20:00:00,134,62,244.5,21,96,81
2026-09-08 21:00:00,134,63,237.7,20,98,79
2026-09-08 22:00:00,135,60,240.0,20,96,82
2026-09-08 23:00:00,136,57,235.1,21,95,83
2026-09-09 00:00:00,135,58,240.1,19,92,81
2026-09-09 01:00:00,135,58,237.7,19,94,84
2026-09-09 02:00:00,135,60,234.2,20,96,83
2026-09-09 03:00:00,136,60,239.2,19,93,84
2026-09-09 04:00:00,134,59,240.5,19,96,80
2026-09-09 05:00:00,135,56,240.8,20,95,79
2026-09-09 06:00:00,134,58,240.5,18,95,83
2026-09-09 07:00:00,133,61,241.6,20,95,83
2026-09-09 08:00:00,136,59,247.1,19,94,82
2026-09-09 09:00:00,134,59,240.2,19,92,78
2026-09-09 10:00:00,135,57,246.4,20,90,81
2026-09-09 11:00:00,136,63,247.0,18,97,80
2026-09-09 12:00:00,135,55,240.8,19,95,83
2026-09-09 13:00:00,134,63,238.1,19,96,83
2026-09-09 14:00:00,136,61,243.1,18,96,80
2026-09-09 15:00:00,133,59,246.8,20,96,79
2026-09-09 16:00:00,135,59,234.3,19,99,79
2026-09-09 17:00:00,136,60,241.2,21,96,80
2026-09-09 18:00:00,136,61,242.4,19,97,81
2026-09-09 19:00:00,134,60,247.2,19,93,81
2026-09-09 20:00:00,136,63,236.6,20,96,78
2026-09-09 21:00:00,134,58,243.2,19,99,84
2026-09-09 22:00:00,134,61,244.2,18,96,78
2026-09-09 23:00:00,135,62,239.4,20,94,79
2026-09-10 00:00:00,134,58,242.8,21,95,80
2026-09-10 01:00:00,134,60,243.0,18,91,80
2026-09-10 02:00:00,135,60,245.6,20,93,80
2026-09-10 03:00:00,135,61,246.0,20,96,81
2026-09-10 04:00:00,135,60,243.0,20,96,81
2026-09-10 05:00:00,134,60,242.6,21,96,79
2026-09-10 06:00:00,134,60,238.2,19,94,80
2026-09-10 07:00:00,133,60,242.2,19,95,80
2026-09-10 08:00:00,134,59,242.2,19,98,79
2026-09-10 09:00:00,136,59,239.4,20,92,78
2026-09-10 10:00:00,135,60,244.6,19,94,80
2026-09-10 11:00:00,135,61,243.0,19,94,80
2026-09-10 12:00:00,136,58,242.8,20,96,86
2026-09-10 13:00:00,135,61,243.6,21,93,83
2026-09-10 14:00:00,136,56,239.3,19,93,83
2026-09-10 15:00:00,136,58,237.6,19,96,80
2026-09-10 16:00:00,134,61,243.7,20,94,85
2026-09-10 17:00:00,136,63,237.6,21,96,82
2026-09-10 18:00:00,135,61,248.2,19,96,82
2026-09-10 19:00:00,134,59,241.7,19,97,82
2026-09-10 20:00:00,136,62,241.4,21,93,83
2026-09-10 21:00:00,136,61,244.7,19,98,82
